Name,Sector,rating_num,currentRatio,cashRatio,netProfitMargin,operatingProfitMargin,debtRatio,debtEquityRatio,returnOnEquity,operatingCashFlowSalesRatio,rating_note
"Advanced Disposal Services, Inc.",Public Utilities,5.0,0.661429452,0.003696858,-0.021643172,0.093905738,0.753850263,3.062567812,-0.036648583,0.168731311,B
"Advanced Micro Devices, Inc.",Technology,6.0,1.621331424,0.392984968,-0.218185172,-0.19476208,0.8655,6.434944238,-2.198884758,-0.06233862,BB
"Air Products and Chemicals, Inc.",Basic Industries,8.0,0.991801487,0.10324162933333332,0.10726836833333335,0.14301408366666665,0.591830803,1.4513642979999999,0.150700537,0.202790849,A
Albany International Corporation,Basic Industries,7.0,3.0450636295,1.2234273249999998,0.068341457,0.09287529550000001,0.5016300185,1.0139180045,0.098336426,0.12405505750000001,BBB
Albemarle Corporation,Basic Industries,6.0,2.0352239195,1.1582152695,0.073117637,0.1160531065,0.7006254995000001,2.3982507575,0.100486989,0.1501068505,BB
Alcoa Corporation,Basic Industries,6.0,1.067387687,0.231697171,-0.077060452,-0.005982677,0.298543837,0.518957848,-0.091400127,0.078131976,BB
Alkermes plc,Health Care,6.0,4.571462707999999,1.1400783933333334,-0.23387042699999996,-0.24139385733333332,0.3232711833333333,0.48943619066666666,-0.10916635699999999,-0.017532146333333335,BB
Alleghany Corporation,Finance,7.0,4.3548015573333325,0.225493961,0.129268136,0.15856180499999997,0.6331791313333334,1.793799417,0.07133941433333334,0.07727602733333333,BBB
Allegheny Technologies Incorporated,Basic Industries,6.25,2.68111761925,0.44712370175000005,-0.005695009249999997,-0.003398373750000001,0.6035631515,1.53032679675,-0.01066345775,0.0492338705,BB
Allegiant Travel Company,Transportation,6.0,1.191206433,0.24296797199999998,0.12614870075,0.21502721675,0.70436678175,2.5246365475,0.40870917575,0.2447249865,BB
Allegion plc,Consumer Services,7.0,1.644151197,0.446656229,0.074416131,0.173395871,0.98879797,88.26953125,6.01171875,0.124268652,BBB
Alliant Energy Corporation,Public Utilities,7.6,0.7881518296,0.0156674488,0.110873717,0.15895957219999998,0.7044728175999999,2.3869333796,0.1077972602,0.24152128619999996,A
Alphabet Inc.,Technology,9.0,5.4787313545,0.813982405,0.216887712,0.26044416000000004,0.176950155,0.2150819075,0.1379759015,0.373115557,AA
Altria Group,Consumer Non-Durables,7.333333333333333,0.8954514616666667,0.43603333799999994,0.24391772166666667,0.3099705406666667,0.8731066281666666,8.3318099415,1.3264353926666665,0.17583610149999998,BBB
Ameren Corporation,Public Utilities,7.75,0.978165602,0.07419579525,0.08351125275,0.19611560875,0.6894813165,2.240956728,0.07192354100000001,0.295615632,A
"America Movil, S.A.B. de C.V.",Public Utilities,8.0,0.937713857,0.228819471,0.120361236,0.228425795,0.748339709,3.057552606,0.361114892,0.280072745,A
"American Airlines Group, Inc.",Transportation,5.5,0.9694866759999999,0.07827932600000001,0.27553649750000003,0.48293986499999997,1.0092120605000001,2.0886568899999993,1.048787801,0.34373171399999997,BB
"American Axle & Manufacturing Holdings, Inc.",Capital Goods,6.666666666666667,1.5872478066666666,0.33250469833333335,0.042838929,0.07969100466666666,0.9533246986666667,42.17070138566667,1.6183163766666666,0.08413989566666667,BBB
American States Water Company,Public Utilities,9.0,1.591948049,0.4003238785,0.131480554,0.256962016,0.6433983285,1.8069684845,0.12514329000000002,0.278985925,AA
Amgen Inc.,Health Care,7.4,4.151593748000001,0.435245455,0.2874033748,0.3525496018,0.632812668,1.7331113926000001,0.23271490420000002,0.39466487159999997,BBB
"Amkor Technology, Inc.",Technology,6.0,1.5689817443333334,0.6492819660000001,0.031453071666666665,0.0678336675,0.7182409569999999,2.623890615666667,0.09884931116666666,0.18326412516666668,BB
Amphenol Corporation,Capital Goods,7.0,2.902674173333333,0.7597713783333333,0.13448485133333332,0.19289239,0.544696328,1.2069272513333333,0.23585396666666666,0.15830250033333335,BBB
